Workload,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,Execution Time,,Max SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown, SlowDown...
bl-bl-fr-fr-1,375819675,375882912,358314731,358472687,,1.18146166357591,1.18126289930961,1.18146166357591,1.17133498018941,1.17185134017164,
c1-c1-1,413315040,413301471,,,,1.10838898988488,1.10838898988488,1.10835260183037,,,
c2-1,431657084,,,,,0,,,,,
st-st-st-st-1,392081163,395244451,399825611,399981000,,1.2482190968244,1.2235661072944,1.23343776742414,1.24773417499752,1.2482190968244,


Total Exection Time, 4313895825
PFP Avg Max Slowdown, 1.1793565834284
PFP, 4578543817.63911


Work Load, EDP
bl-bl-fr-fr-1, 0.482469141
c1-c1-1, 0.404868096
c2-1, 0.368567109
st-st-st-st-1, 0.560289025
Total, 1.816193371
